"Ensembl_ID"	"Gene_symbol"	"logFC"	"FDR"	"Comparison"	"LncBook.ID"	"Type"	"Conservation"	"miRNA"	"GWAS"	"nearest.PC"	"Top.correlated.gene"
"ENSG00000254528"	"FXYD6-AS1"	-2.05670276392198	0.00029535930367764	"M1_vs_M0"	"HSALNG0087478"	"anti_sense"	"Q50"	NA	"-"	"IL10RA"	"ATG5"
"ENSG00000234741"	"GAS5"	-1.02836894159104	1.14296591643052e-25	"M1_vs_M0"	"HSALNG0008545"	"anti_sense"	"Q50"	"hsa-miR-4292"	"Intelligence,Body height,Erythrocyte count,Hematocrit; Hemoglobin measurement,-,Red blood cell density measurement; Erythrocyte count"	"CENPL"	"PITHD1"
"ENSG00000226137"	"BAIAP2-DT"	-1.69883649847656	4.02710695523546e-51	"M1_vs_M0"	"HSALNG0119226"	"integenic"	"Not conserved"	"hsa-miR-3943"	"-"	"AATK"	"USP13"
"ENSG00000280303"	"ERICD"	1.41199085267064	0.0244166351065663	"M1_vs_M0"	"HSALNG0069026"	"anti_sense"	"Q50"	"hsa-miR-4526,hsa-miR-4656,hsa-miR-4749-3p,hsa-miR-6749-3p,hsa-miR-8072"	"Age-related hearing impairment"	"CHRAC1"	"GATB"
"ENSG00000246640"	"PICART1"	-2.45991576340842	1.51788316421019e-05	"M1_vs_M0"	"HSALNG0117242"	"anti_sense"	"Q90"	"hsa-miR-3178,hsa-miR-3620-5p,hsa-miR-1587,hsa-miR-10392-3p"	"-"	"SAMD14"	"ABCA7"
"ENSG00000253838"	"ENSG00000253838"	8.22546149758318	1.8077604994647e-88	"M1_vs_M0"	"HSALNG0150187"	"sense"	"Q50"	NA	"-"	"IDO1"	"NTN1"
"ENSG00000229891"	"LINC01315"	-3.35148825672468	3.25602623975733e-12	"M1_vs_M0"	"HSALNG0135702"	"integenic"	"Q90"	"hsa-miR-3187-3p"	NA	"NFAM1"	"ASPM"
"ENSG00000235314"	"LINC00957"	-1.28131578978146	8.95539327234242e-06	"M1_vs_M0"	"HSALNG0057613"	"integenic"	"Not conserved"	"hsa-miR-619-5p,hsa-miR-4466,hsa-miR-4505,hsa-miR-5585-3p,hsa-miR-6747-3p,hsa-miR-6784-5p"	"-"	"DBNL"	"LRRC40"
"ENSG00000287978"	"ENSG00000287978"	-1.97781657941701	0.0439899778459614	"M1_vs_M0"	"HSALNG0141895"	"integenic"	"Not conserved"	NA	NA	"POLR3GL"	"MYO9A"
"ENSG00000224812"	"TMEM72-AS1"	1.3299569670257	2.15673663954544e-05	"M1_vs_M0"	"HSALNG0077638"	"integenic"	"Not conserved"	NA	NA	"DEPP1"	"DDX3Y"
"ENSG00000232656"	"IDI2-AS1"	1.09760961346809	0.00114230915845602	"M1_vs_M0"	"HSALNG0075528"	"anti_sense"	"Q75"	"hsa-miR-3940-5p,hsa-miR-4433a-3p"	"Response to candesartan,-"	"GTPBP4"	"DNTTIP2"
"ENSG00000287778"	"ENSG00000287778"	-1.7784513603724	2.52255565386145e-05	"M1_vs_M0"	"HSALNG0032926"	"integenic"	"Not conserved"	NA	NA	"DRD5"	"ACSL4"
"ENSG00000273828"	"ENSG00000273828"	1.92200121915174	7.80019267659755e-05	"M1_vs_M0"	"HSALNG0130476"	"anti_sense"	"Q50"	NA	"-"	"CD40"	"SIRT2"
"ENSG00000267470"	"ZNF571-AS1"	-1.49895786642609	0.0386533292525393	"M1_vs_M0"	"HSALNG0125848"	"anti_sense,sense"	"Not conserved"	NA	"Trauma exposure measurement,Abnormality of refraction,-"	"ZNF540"	"MAPK6"
"ENSG00000180066"	"LINC02870"	-1.75071827973643	1.37201513808986e-05	"M1_vs_M0"	"HSALNG0081790"	"integenic"	"Q50"	"hsa-miR-1227-5p,hsa-miR-4485-5p,hsa-miR-4514,hsa-miR-4763-3p,hsa-miR-5001-3p,hsa-miR-6813-5p"	"-"	"PWWP2B"	"DGCR2"
"ENSG00000235910"	"APOA1-AS"	2.81073102439883	0.00356642529036756	"M1_vs_M0"	"HSALNG0087417"	"anti_sense"	"Not conserved"	NA	"Blood protein measurement,High density lipoprotein cholesterol measurement,Sleep duration; Triglyceride measurement,Serum metabolite measurement,Apolipoprotein a 1 measurement; Total cholesterol measurement; High density lipoprotein cholesterol measurement,-"	"APOC3"	"ACAP1"
"ENSG00000272068"	"BCAN-AS1"	-2.01952362263924	1.50210431628035e-05	"M1_vs_M0"	"HSALNG0007612"	"anti_sense"	"Q75"	"hsa-miR-4722-5p,hsa-miR-6511a-3p"	"Blood protein measurement,-"	"NES"	"MAP3K13"
"ENSG00000267751"	"BSG-AS1"	-2.07051738151144	2.14062016466406e-08	"M1_vs_M0"	"HSALNG0122891"	"integenic"	"Not conserved"	NA	NA	"POLRMT"	"MAP3K13"
"ENSG00000289382"	"ENSG00000289382"	2.88690856489141	0.0431342944647258	"M1_vs_M0"	"HSALNG0150277"	"anti_sense"	"Q50"	NA	NA	"UTP23"	"BCS1L"
"ENSG00000230943"	"LINC02541"	2.30254314066032	9.18476183221044e-12	"M1_vs_M0"	"HSALNG0052910"	"integenic"	"Not conserved"	NA	NA	"HDAC2"	"VPS9D1"
"ENSG00000229331"	"GK-IT1"	2.21876890088634	0.00119964204590989	"M1_vs_M0"	"HSALNG0137205"	"intronic_sense"	"Not conserved"	"hsa-miR-619-5p"	NA	"GK"	"MARK3"
"ENSG00000284633"	"ENSG00000284633"	3.02741237323984	3.2921428384618e-13	"M1_vs_M0"	"HSALNG0135492"	"anti_sense"	"Q50"	"hsa-miR-4463,hsa-miR-4776-5p,hsa-miR-6769b-5p"	"Fev/fec ratio,Ulcerative colitis; Crohn's disease; Inflammatory bowel disease,Psoriasis; Inflammatory bowel disease; Ulcerative colitis; Ankylosing spondylitis; Crohn's disease; Sclerosing cholangitis,Body weight,Platelet crit,Biliary liver cirrhosis,Hair colour measurement,Psoriasis; Ulcerative colitis; Ankylosing spondylitis; Crohn's disease; Sclerosing cholangitis,-"	"SYNGR1"	"DLG1"
"ENSG00000286004"	"ENSG00000286004"	1.82981558768083	4.0840929798398e-05	"M1_vs_M0"	"HSALNG0031856"	"anti_sense"	"Not conserved"	NA	"Creatinine measurement; Glomerular filtration rate,-"	"MUC20"	"SEC31B"
"ENSG00000289173"	"ENSG00000289173"	5.81595366865103	0.00104494394311017	"M1_vs_M0"	"HSALNG0092178"	"integenic"	"Not conserved"	"hsa-miR-619-5p"	"-"	"CPM"	"CAPN6"
"ENSG00000259153"	"MAP3K9-DT"	4.84109444347711	0.0317532685028485	"M1_vs_M0"	"HSALNG0102239"	"anti_sense"	"Q50"	"hsa-miR-210-5p,hsa-miR-6089,hsa-miR-7703"	"-"	"PCNX1"	"CAPN6"
"ENSG00000222032"	"ENSG00000222032"	-4.89403650580295	0.0351015308248243	"M1_vs_M0"	"HSALNG0023343"	"integenic"	"Q75"	"hsa-miR-6865-5p"	"Body height,-"	"COL6A3"	"FAM76B"
"ENSG00000230479"	"ENSG00000230479"	-2.89904343572874	1.22628154823539e-06	"M1_vs_M0"	"HSALNG0132951"	"integenic"	"Not conserved"	NA	NA	"CHAF1B"	"SLC25A43"
"ENSG00000287445"	"ENSG00000287445"	-3.1457092209373	5.63856502771259e-05	"M1_vs_M0"	"HSALNG0010356"	"integenic"	"Not conserved"	"hsa-miR-4736"	NA	"PACC1"	"FGFR1"
"ENSG00000270084"	"GAS5-AS1"	-1.65599294651382	0.00609130840423548	"M1_vs_M0"	"HSALNG0008546"	"integenic"	"Not conserved"	"hsa-miR-6089"	"Intelligence,Body height"	"DARS2"	"PIAS2"
"ENSG00000273143"	"DUSP5-DT"	-1.87432744240197	4.55121244095542e-09	"M1_vs_M0"	"HSALNG0080582"	"integenic"	"Q50"	NA	"Heel bone mineral density,Bone density,-"	"SMNDC1"	"N4BP2"
"ENSG00000289880"	"ENSG00000289880"	2.56833075532701	1.63655456792668e-07	"M1_vs_M0"	NA	NA	NA	NA	NA	"FAM177B"	"THOC1"
"ENSG00000260101"	"AFTPH-DT"	-1.30499471526313	1.17644406588872e-08	"M1_vs_M0"	"HSALNG0015480"	"anti_sense"	"Q90"	NA	"Epithelial cell adhesion molecule measurement,Gut microbiome measurement,-"	"SERTAD2"	"SLC35C2"
"ENSG00000259583"	"ALDH1A3-AS1"	-1.20428793856758	0.0126378788506421	"M1_vs_M0"	"HSALNG0108607"	"anti_sense"	"Q90"	NA	"-"	"CHSY1"	"SESN1"
"ENSG00000251432"	"LINC02615"	-1.56210257310797	0.00149455521768955	"M1_vs_M0"	"HSALNG0037069"	"integenic"	"Q50"	NA	NA	"LARP1B"	"EXD2"
"ENSG00000205444"	"KU-MEL-3"	2.73322415995912	0.00075379851990644	"M1_vs_M0"	"HSALNG0047755"	"integenic"	"Not conserved"	"hsa-miR-3619-5p"	"Balding measurement,-"	"CDYL"	"P2RX5"
"ENSG00000291005"	"NBPF25P"	-2.26970066270795	3.07346835181469e-08	"M1_vs_M0"	"HSALNG0006737"	"anti_sense"	"Not conserved"	NA	"Breast carcinoma,-"	"PDZK1"	"DIS3"
"ENSG00000253891"	"ENSG00000253891"	4.44894039383014	4.14892768581561e-07	"M1_vs_M0"	"HSALNG0064035"	"anti_sense"	"Q90"	"hsa-miR-619-5p,hsa-miR-1249-5p,hsa-miR-4447,hsa-miR-4463,hsa-miR-4505,hsa-miR-7106-5p"	"Bmi-adjusted waist circumference; Body height; Bmi-adjusted hip circumference,Bmi-adjusted waist circumference,Body height,Ankylosing spondylitis,Cleft palate,Necrotizing enterocolitis,Hair colour measurement,Susceptibility to scarlet fever measurement,White matter integrity,Corneal endothelial cell measurement,Idiopathic dilated cardiomyopathy,Mathematical ability,Age at onset,Nicotine withdrawal symptom count,Pallidum volume,Myopia,Brain volume measurement,Seasonality measurement,Interleukin-6 measurement,Forced expiratory volume; Fev/fec ratio; Response to bronchodilator,Fev/fec ratio; Response to bronchodilator,Myocarditis; Response to clozapine,Cingulate cortex measurement; Amyloid-beta measurement,Brain volume measurement; Neuroimaging measurement,-"	"STC1"	"RFX2"
"ENSG00000259635"	"ENSG00000259635"	3.19746552501582	0.0412937785324718	"M1_vs_M0"	"HSALNG0106568"	"anti_sense"	"Q75"	"hsa-miR-762,hsa-miR-7160-3p,hsa-miR-8485"	"-"	"ZNF609"	"SIRT4"
"ENSG00000261644"	"CYLD-AS1"	2.74235424859247	5.03003795985641e-27	"M1_vs_M0"	"HSALNG0111361"	"anti_sense"	"Q50"	"hsa-miR-6089,hsa-miR-8485"	"Psoriasis; Inflammatory bowel disease; Ulcerative colitis; Ankylosing spondylitis; Crohn's disease; Sclerosing cholangitis,Psoriasis; Ulcerative colitis; Ankylosing spondylitis; Crohn's disease; Sclerosing cholangitis,-"	"SNX20"	"PLEKHG2"
"ENSG00000234869"	"LINC02925"	-2.47852757361646	2.32671864897993e-11	"M1_vs_M0"	"HSALNG0136023"	"integenic"	"Q50"	"hsa-miR-3620-5p,hsa-miR-1268b,hsa-miR-4437,hsa-miR-4505,hsa-miR-1587,hsa-miR-6131"	"Ocular sarcoidosis,Adolescent idiopathic scoliosis,-"	"GRAMD4"	"JPH4"
"ENSG00000231170"	"PDK4-AS1"	-3.09320554416629	0.00313369083888779	"M1_vs_M0"	"HSALNG0059694"	"anti_sense"	"Q50"	"hsa-miR-1343-3p,hsa-miR-6840-3p,hsa-miR-7703"	"Triacylglycerol 48:2 measurement; Triacylglycerol 50:3 measurement,-"	"ASB4"	"TGFB2"
"ENSG00000286162"	"ENSG00000286162"	3.28421360815644	1.06901940108783e-36	"M1_vs_M0"	"HSALNG0069800"	"integenic"	"Q50"	NA	NA	"PLGRKT"	"JAK2"
"ENSG00000205885"	"C1RL-AS1"	5.32653447988222	5.48103279882239e-67	"M1_vs_M0"	"HSALNG0088972"	"anti_sense"	"Q50"	"hsa-miR-4418,hsa-miR-4733-3p,hsa-miR-6090,hsa-miR-6165,hsa-miR-8485"	"Neuritic plaque measurement,Platelet count,Platelet crit,-"	"CLSTN3"	"UPB1"
"ENSG00000231663"	"COA6-AS1"	-1.56681367721722	0.0227668026169927	"M1_vs_M0"	"HSALNG0011591"	"anti_sense"	"Q50"	"hsa-miR-6763-5p"	"-"	"TARBP1"	"SRRD"
"ENSG00000225964"	"NRIR"	4.11477154558663	1.53309308227349e-56	"M1_vs_M0"	"HSALNG0012717"	"integenic"	"Q75"	NA	"Depressive symptom measurement,-"	"CMPK2"	"GTPBP1"
"ENSG00000258655"	"ARHGAP5-AS1"	-2.39865999009682	1.28160451382242e-07	"M1_vs_M0"	"HSALNG0100434"	"anti_sense"	"Q90"	NA	"-"	"GPR33"	"PACSIN2"
"ENSG00000277089"	"CCL3-AS1"	3.29267969489111	0.0133121022147131	"M1_vs_M0"	"HSALNG0116003"	"anti_sense,sense"	"Q75"	"hsa-miR-604,hsa-miR-4726-5p,hsa-miR-6077,hsa-miR-6089,hsa-miR-6743-5p"	"Blood protein measurement,C-c motif chemokine 3 measurement"	"CCL18"	"AP1B1"
"ENSG00000250041"	"ENSG00000250041"	-2.2634269709496	4.66497686462485e-17	"M1_vs_M0"	"HSALNG0082662"	"integenic"	"Q90"	"hsa-miR-619-5p,hsa-miR-4505,hsa-miR-6089,hsa-miR-6165"	"Heel bone mineral density,Bmi-adjusted waist circumference; Bmi-adjusted waist-hip ratio; Waist-hip ratio,-"	"ZBED5"	"MCAT"
"ENSG00000197989"	"SNHG12"	-1.41085844807597	9.26723233241924e-51	"M1_vs_M0"	"HSALNG0002075"	"anti_sense"	"Q50"	"hsa-miR-363-5p,hsa-miR-324-5p,hsa-miR-3178,hsa-miR-4466,hsa-miR-6089,hsa-miR-6890-3p"	"-"	"TAF12"	"KIAA0930"
"ENSG00000258602"	"LINC01629"	2.06451389502754	2.05698599624431e-09	"M1_vs_M0"	"HSALNG0102605"	"integenic"	"Q50"	"hsa-miR-505-5p,hsa-miR-1268b,hsa-miR-6089,hsa-miR-6803-5p,hsa-miR-6823-5p,hsa-miR-6858-5p,hsa-miR-6877-3p"	"Protein measurement,Atrial fibrillation,Total blood protein measurement; Blood protein measurement,-"	"LRRC74A"	"CSF2RB"
"ENSG00000233621"	"ZC3H12A-DT"	1.81244798351499	1.17494526499555e-42	"M1_vs_M0"	"HSALNG0002623"	"integenic"	"Not conserved"	NA	NA	"MEAF6"	"PRMT5"
"ENSG00000268895"	"A1BG-AS1"	1.18713151795862	1.29099946772319e-09	"M1_vs_M0"	"HSALNG0127948"	"anti_sense"	"Not conserved"	"hsa-miR-1204,hsa-miR-4505,hsa-miR-4535,hsa-miR-4695-5p,hsa-miR-4707-5p,hsa-miR-6081"	"-"	"ZSCAN22"	"PSMA3"
"ENSG00000272529"	"ENSG00000272529"	2.88657210995499	0.0398604772671466	"M1_vs_M0"	"HSALNG0024480"	"anti_sense,sense"	"Q75"	"hsa-miR-3620-5p,hsa-miR-4539"	"Lateral orbital frontal cortex volume measurement"	"OXNAD1"	"VTI1B"
"ENSG00000263120"	"ENSG00000263120"	6.33110902604229	5.73116560904512e-05	"M1_vs_M0"	"HSALNG0117612"	"sense"	"Not conserved"	NA	"-"	"SCPEP1"	"RIN3"
"ENSG00000225489"	"ENSG00000225489"	2.87691432213353	0.00231609423699418	"M1_vs_M0"	"HSALNG0069883"	"sense"	"Not conserved"	"hsa-miR-504-3p,hsa-miR-619-5p,hsa-miR-920,hsa-miR-4508,hsa-miR-7160-3p"	"Eosinophil count,-"	"KDM4C"	"HIF1A"
"ENSG00000231131"	"LNCAROD"	2.84869334484406	2.70273859887681e-09	"M1_vs_M0"	"HSALNG0078017"	"integenic"	"Not conserved"	"hsa-miR-6895-5p"	"Heel bone mineral density,Bone density; Dickkopf‐related protein 1 measurement; Heel bone mineral density,Bone density,Bone density; Heel bone mineral density,Dickkopf‐related protein 1 measurement,Femoral neck bone mineral density; Spine bone mineral density,Bone fracture,Velocity of sound measurement; Bone quantitative ultrasound measurement; Heel bone mineral density,Bone quantitative ultrasound measurement"	"MBL2"	"SUSD6"
"ENSG00000237781"	"ADAMTSL4-AS2"	2.02545650288006	0.00073113756490386	"M1_vs_M0"	"HSALNG0007049"	"anti_sense"	"Q50"	"hsa-miR-607,hsa-miR-619-5p,hsa-miR-8485"	"Prostate carcinoma,Body height,-"	"MCL1"	"MTHFD1"
"ENSG00000289100"	"ENSG00000289100"	2.3293982875268	1.04399259446589e-07	"M1_vs_M0"	"HSALNG0049520"	"anti_sense"	"Q50"	"hsa-miR-619-5p,hsa-miR-7846-3p"	NA	"PFDN6"	"ARHGAP5"
"ENSG00000290853"	"ENSG00000290853"	-1.24038891538638	0.0217113984666881	"M1_vs_M0"	"HSALNG0141243"	"integenic"	"Not conserved"	NA	NA	"TMSB4Y"	"BRMS1L"
"ENSG00000237976"	"RFX5-AS1"	2.52026460735558	0.00306721608747341	"M1_vs_M0"	"HSALNG0007143"	"anti_sense"	"Q90"	NA	"-"	"PSMB4"	"RNMT"
"ENSG00000273341"	"ENSG00000273341"	-1.70704051971874	1.45773255067553e-12	"M1_vs_M0"	"HSALNG0059115"	"anti_sense"	"Q50"	"hsa-miR-4466,hsa-miR-7703"	"Body mass index,Gut microbiome measurement,Hba1c measurement,Hemoglobin a1 measurement,-"	"CCDC146"	"ANKRD12"
"ENSG00000229272"	"LINC03036"	-2.69228582568721	0.00059330819222025	"M1_vs_M0"	"HSALNG0081008"	"integenic"	"Not conserved"	NA	NA	"EIF3A"	"PORCN"
"ENSG00000287771"	"ENSG00000287771"	-5.85666008006992	0.00012004561683231	"M1_vs_M0"	"HSALNG0017397"	"integenic"	"Q50"	NA	"Ulcerative colitis; Crohn's disease,Autism spectrum disorder; Ulcerative colitis; Ankylosing spondylitis; Attention deficit hyperactivity disorder; Unipolar depression; Bipolar disorder,-"	"IL1R1"	"COTL1"
"ENSG00000269072"	"ENSG00000269072"	-2.37656246941162	0.00802791459269948	"M1_vs_M0"	"HSALNG0127186"	"anti_sense"	"Not conserved"	"hsa-miR-4463"	"Sialic acid-binding ig-like lectin 9 measurement,Blood protein measurement; Alkaline phosphatase measurement,Cortical thickness,Blood protein measurement,Granulocyte percentage of myeloid white cells; Blood protein measurement; Cerebrospinal fluid biomarker measurement; Monocyte percentage of leukocytes,Blood protein measurement; Reticulocyte measurement; Cerebrospinal fluid biomarker measurement,C-reactive protein measurement; Body mass index; Protein measurement; Sialic acid-binding ig-like lectin 9 measurement; Blood protein measurement,-"	"CTU1"	"ZNF500"
"ENSG00000268947"	"ENSG00000268947"	-1.68872456507822	1.63884998674435e-07	"M1_vs_M0"	"HSALNG0125591"	"sense"	"Not conserved"	"hsa-miR-619-5p,hsa-miR-6089"	NA	"LSR"	"EHD4"
"ENSG00000291064"	"RPL23AP7"	-1.1013445575455	3.50238315612771e-05	"M1_vs_M0"	"HSALNG0136334"	"anti_sense"	"Not conserved"	"hsa-miR-4469"	NA	"ACR"	"CCDC61"
"ENSG00000235531"	"MSC-AS1"	1.47499268291046	4.16772045007099e-31	"M1_vs_M0"	"HSALNG0066120"	"anti_sense"	"Not conserved"	NA	"Lung carcinoma,Gout,Clinical treatment,Attention deficit hyperactivity disorder,Smoking behaviour measurement,Mental development measurement,Diastolic blood pressure,Forced expiratory volume; Response to bronchodilator,-"	"KCNB2"	"TYK2"
"ENSG00000253931"	"LINC02990"	-3.88671216933768	7.45453088201633e-12	"M1_vs_M0"	"HSALNG0069286"	"anti_sense"	"Q75"	"hsa-miR-6803-5p,hsa-miR-6769b-5p"	"Apolipoprotein a 1 measurement; High density lipoprotein cholesterol measurement,-"	"RHPN1"	"FKBP8"
"ENSG00000261616"	"ENSG00000261616"	2.05379278178193	0.0488559239148628	"M1_vs_M0"	"HSALNG0108524"	"anti_sense"	"Not conserved"	NA	"Fev/fec ratio,-"	"SYNM"	"GSK3A"
"ENSG00000223442"	"TH2LCRR"	2.88657245267314	0.0398598082609657	"M1_vs_M0"	"HSALNG0044865"	"anti_sense"	"Not conserved"	"hsa-miR-5001-3p"	"Atopic eczema,Eczema; Adult onset asthma,-"	"KIF3A"	"HOXA5"
"ENSG00000267296"	"CEBPA-DT"	-1.70199669748273	1.18848765821546e-13	"M1_vs_M0"	"HSALNG0125425"	"integenic"	"Q50"	"hsa-miR-1303,hsa-miR-6764-5p"	"Bmi-adjusted waist circumference,Reticulocyte count; Reticulocyte measurement,-"	"CEBPG"	"HIBADH"
"ENSG00000261618"	"LINC02605"	4.40760454012556	5.38256321626295e-37	"M1_vs_M0"	"HSALNG0150243"	"integenic"	"Not conserved"	NA	"Platelet-to-lymphocyte ratio; Lymphocyte count"	"ZC2HC1A"	"EZH2"
